class,lines,methods,package,name.length
BridgeMethodResolverTests.Boo,3,2,org.springframework.core,37
BridgeMethodResolverTests.Bounded,2,1,org.springframework.core,41
BridgeMethodResolverTests.Broadcaster,1,0,org.springframework.core,45
BridgeMethodResolverTests.Business,1,0,org.springframework.core,42
BridgeMethodResolverTests.BusinessDao,6,3,org.springframework.core,45
BridgeMethodResolverTests.BusinessGenericDao,2,1,org.springframework.core,52
BridgeMethodResolverTests.Channel,4,3,org.springframework.core,41
BridgeMethodResolverTests.ConcreteSettings,1,0,org.springframework.core,50
BridgeMethodResolverTests.ConcreteSettingsDao,2,1,org.springframework.core,53
BridgeMethodResolverTests.ConvenienceGenericDao,1,0,org.springframework.core,55
BridgeMethodResolverTests.ConvenientGenericRepository,5,4,org.springframework.core,61
BridgeMethodResolverTests.Dao,3,2,org.springframework.core,37
BridgeMethodResolverTests.DaoInterface,2,1,org.springframework.core,46
BridgeMethodResolverTests.DateAdder,2,1,org.springframework.core,43
BridgeMethodResolverTests.DomainObject,5,2,org.springframework.core,46
BridgeMethodResolverTests.DomainObjectExtendsSuper,1,0,org.springframework.core,58
BridgeMethodResolverTests.DomainObjectSuper,1,0,org.springframework.core,51
BridgeMethodResolverTests.EmailMessage,1,0,org.springframework.core,46
BridgeMethodResolverTests.EmailMessageProvider,1,0,org.springframework.core,54
BridgeMethodResolverTests.EmailSearchConditions,1,0,org.springframework.core,55
BridgeMethodResolverTests.Enclosing,4,0,org.springframework.core,43
BridgeMethodResolverTests.Enclosing.Enclosed,3,0,org.springframework.core,55
BridgeMethodResolverTests.Enclosing.Enclosed.ReallyDeepNow,2,1,org.springframework.core,72
BridgeMethodResolverTests.Event,2,1,org.springframework.core,39
BridgeMethodResolverTests.EventBroadcaster,4,3,org.springframework.core,50
BridgeMethodResolverTests.ExtendsAbstractImplementsInterface,3,1,org.springframework.core,68
BridgeMethodResolverTests.ExtendsEnclosing,5,0,org.springframework.core,50
BridgeMethodResolverTests.ExtendsEnclosing.ExtendsEnclosed,4,0,org.springframework.core,69
BridgeMethodResolverTests.ExtendsEnclosing.ExtendsEnclosed.ExtendsReallyDeepNow,3,1,org.springframework.core,93
BridgeMethodResolverTests.ExternalMessage,1,0,org.springframework.core,49
BridgeMethodResolverTests.ExternalMessageProvider,3,1,org.springframework.core,57
BridgeMethodResolverTests.ExternalMessageSearchConditions,1,0,org.springframework.core,65
BridgeMethodResolverTests.Foo,3,2,org.springframework.core,37
BridgeMethodResolverTests.GenericBroadcasterImpl,1,0,org.springframework.core,56
BridgeMethodResolverTests.GenericDao,2,1,org.springframework.core,44
BridgeMethodResolverTests.GenericEvent,7,3,org.springframework.core,46
BridgeMethodResolverTests.GenericEventBroadcasterImpl,12,6,org.springframework.core,61
BridgeMethodResolverTests.GenericHibernateRepository,19,11,org.springframework.core,60
BridgeMethodResolverTests.GenericParameter,2,1,org.springframework.core,50
BridgeMethodResolverTests.GenericSqlMapDao,3,1,org.springframework.core,50
BridgeMethodResolverTests.GenericSqlMapIntegerDao,2,1,org.springframework.core,57
BridgeMethodResolverTests.HibernateRepositoryRegistry,4,2,org.springframework.core,61
BridgeMethodResolverTests.Homer,2,1,org.springframework.core,39
BridgeMethodResolverTests.IExternalMessageProvider,1,0,org.springframework.core,58
BridgeMethodResolverTests.IGenericInterface,2,1,org.springframework.core,51
BridgeMethodResolverTests.InterBar,1,0,org.springframework.core,42
BridgeMethodResolverTests.MegaEvent,1,0,org.springframework.core,43
BridgeMethodResolverTests.MegaMessageEvent,1,0,org.springframework.core,50
BridgeMethodResolverTests.MegaMessageProducer,1,0,org.springframework.core,53
BridgeMethodResolverTests.MegaMessageProducerImpl,7,3,org.springframework.core,57
BridgeMethodResolverTests.MegaReceiver,2,1,org.springframework.core,46
BridgeMethodResolverTests.MessageBroadcaster,1,0,org.springframework.core,52
BridgeMethodResolverTests.MessageBroadcasterImpl,10,6,org.springframework.core,56
BridgeMethodResolverTests.MessageEvent,1,0,org.springframework.core,46
BridgeMethodResolverTests.ModifiedMegaMessageEvent,1,0,org.springframework.core,58
BridgeMethodResolverTests.ModifiedMessageEvent,1,0,org.springframework.core,54
BridgeMethodResolverTests.MyBar,3,2,org.springframework.core,39
BridgeMethodResolverTests.MyBoo,5,2,org.springframework.core,39
BridgeMethodResolverTests.MyFoo,4,3,org.springframework.core,39
BridgeMethodResolverTests.MyHomer,3,1,org.springframework.core,41
BridgeMethodResolverTests.NewMegaMessageEvent,1,0,org.springframework.core,53
BridgeMethodResolverTests.NewMessageEvent,1,0,org.springframework.core,49
BridgeMethodResolverTests.Other,1,0,org.springframework.core,39
BridgeMethodResolverTests.ParameterType,1,0,org.springframework.core,47
BridgeMethodResolverTests.Permission,1,0,org.springframework.core,44
BridgeMethodResolverTests.Receiver,2,1,org.springframework.core,42
BridgeMethodResolverTests.RemovedMessageEvent,1,0,org.springframework.core,53
BridgeMethodResolverTests.RepositoryRegistry,2,1,org.springframework.core,52
BridgeMethodResolverTests.SearchConditions,1,0,org.springframework.core,50
BridgeMethodResolverTests.SearchProvider,2,1,org.springframework.core,48
BridgeMethodResolverTests.SerializableBounded,3,1,org.springframework.core,53
BridgeMethodResolverTests.SettableRepositoryRegistry,8,6,org.springframework.core,60
BridgeMethodResolverTests.Settings,1,0,org.springframework.core,42
BridgeMethodResolverTests.SettingsDao,2,1,org.springframework.core,45
BridgeMethodResolverTests.SettingsDaoImpl,5,2,org.springframework.core,49
BridgeMethodResolverTests.SimpleGenericRepository,7,6,org.springframework.core,57
BridgeMethodResolverTests.StringGenericParameter,5,2,org.springframework.core,56
BridgeMethodResolverTests.StringList,47,23,org.springframework.core,44
BridgeMethodResolverTests.TestEmailProvider,3,1,org.springframework.core,51
BridgeMethodResolverTests.User,1,0,org.springframework.core,38
BridgeMethodResolverTests.UserDao,3,2,org.springframework.core,41
BridgeMethodResolverTests.UserDaoImpl,3,2,org.springframework.core,45
BridgeMethodResolverTests.UserInitiatedEvent,1,0,org.springframework.core,52
BridgeMethodResolverTests.YourHomer,3,1,org.springframework.core,43
CollectionFactoryTests,22,6,org.springframework.core,22
ConstantsTests,161,11,org.springframework.core,14
ConstantsTests.A,13,0,org.springframework.core,24
ConstantsTests.NoConstants,1,0,org.springframework.core,34
ConventionsTests,27,5,org.springframework.core,16
ConvertingComparatorTests,54,11,org.springframework.core.convert.converter,25
ConvertingComparatorTests.StringToInteger,3,1,org.springframework.core.convert.converter,49
ConvertingComparatorTests.TestComparator,9,2,org.springframework.core.convert.converter,48
CollectionToCollectionConverterTests,166,17,org.springframework.core.convert.support,36
CollectionToCollectionConverterTests.BaseResource,25,12,org.springframework.core.convert.support,57
CollectionToCollectionConverterTests.TestResource,1,0,org.springframework.core.convert.support,57
DefaultConversionTests,388,88,org.springframework.core.convert.support,22
DefaultConversionTests.ColorConverter,5,1,org.springframework.core.convert.support,45
DefaultConversionTests.CustomNumber,9,4,org.springframework.core.convert.support,43
DefaultConversionTests.ISBN,15,5,org.springframework.core.convert.support,35
DefaultConversionTests.SSN,13,4,org.springframework.core.convert.support,34
DefaultConversionTests.TestEntity,8,3,org.springframework.core.convert.support,41
GenericConversionServiceTests,312,48,org.springframework.core.convert.support,29
GenericConversionServiceTests.ColorConverter,5,1,org.springframework.core.convert.support,52
GenericConversionServiceTests.Converter,2,1,org.springframework.core.convert.support,47
GenericConversionServiceTests.Converter,2,1,org.springframework.core.convert.support,47
GenericConversionServiceTests.MyBaseInterface,1,0,org.springframework.core.convert.support,53
GenericConversionServiceTests.MyBaseInterfaceConverter,3,1,org.springframework.core.convert.support,62
GenericConversionServiceTests.MyInterface,1,0,org.springframework.core.convert.support,49
GenericConversionServiceTests.MyInterfaceImplementer,1,0,org.springframework.core.convert.support,60
GenericConversionServiceTests.MyStringArrayToIntegerArrayConverter,6,1,org.springframework.core.convert.support,74
GenericConversionServiceTests.MyStringArrayToResourceArrayConverter,6,1,org.springframework.core.convert.support,75
GenericConversionServiceTests.MyStringToIntegerArrayConverter,7,1,org.springframework.core.convert.support,69
GenericConversionServiceTests.WithCopyConstructor,3,2,org.springframework.core.convert.support,57
MapToMapConverterTests,114,11,org.springframework.core.convert.support,22
TypeDescriptorTests,449,72,org.springframework.core.convert,19
TypeDescriptorTests.GenericClass,7,4,org.springframework.core.convert,40
TypeDescriptorTests.GenericType,5,4,org.springframework.core.convert,39
TypeDescriptorTests.IntegerClass,1,0,org.springframework.core.convert,40
TypeDescriptorTests.IntegerType,7,4,org.springframework.core.convert,39
TypeDescriptorTests.NumberType,7,4,org.springframework.core.convert,38
DefaultControlFlowTests,4,2,org.springframework.core,23
LabeledEnumTests,76,12,org.springframework.core.enums,16
LabeledEnumTests.Dog,11,1,org.springframework.core.enums,28
LabeledEnumTests.Dog.Dog,4,2,org.springframework.core.enums,35
LabeledEnumTests.Other,5,1,org.springframework.core.enums,30
LabeledEnumTests.ValuedEnum,10,2,org.springframework.core.enums,35
LabeledEnumTests.ValuedEnum.ValuedEnum,2,1,org.springframework.core.enums,49
LabeledEnumTests.ValuedEnum.ValuedEnum,2,1,org.springframework.core.enums,49
StandAloneStaticLabeledEnum,6,1,org.springframework.core.enums,27
CustomEnvironmentTests,41,4,org.springframework.core.env,22
CustomEnvironmentTests.AbstractEnvironment,0,0,org.springframework.core.env,50
CustomEnvironmentTests.CustomEnvironment,3,1,org.springframework.core.env,48
CustomEnvironmentTests.CustomEnvironment,3,1,org.springframework.core.env,48
CustomEnvironmentTests.CustomEnvironment,6,1,org.springframework.core.env,48
CustomEnvironmentTests.CustomEnvironment.HashSet,3,0,org.springframework.core.env,59
JOptCommandLinePropertySourceTests,85,10,org.springframework.core.env,34
MutablePropertySourcesTests,90,2,org.springframework.core.env,27
PropertySourcesPropertyResolverTests,193,32,org.springframework.core.env,36
PropertySourcesPropertyResolverTests.SomeType,1,0,org.springframework.core.env,53
PropertySourcesPropertyResolverTests.SpecificType,1,0,org.springframework.core.env,57
PropertySourcesPropertyResolverTests.TestType,1,0,org.springframework.core.env,53
PropertySourceTests,66,3,org.springframework.core.env,19
PropertySourceTests.HashMap,2,0,org.springframework.core.env,35
PropertySourceTests.HashMap,2,0,org.springframework.core.env,35
PropertySourceTests.HashMap,2,0,org.springframework.core.env,35
PropertySourceTests.HashMap,2,0,org.springframework.core.env,35
PropertySourceTests.HashMap,2,0,org.springframework.core.env,35
PropertySourceTests.Properties,2,0,org.springframework.core.env,38
PropertySourceTests.Properties,2,0,org.springframework.core.env,38
SimpleCommandLineParserTests,50,11,org.springframework.core.env,28
SimpleCommandLinePropertySourceTests,54,8,org.springframework.core.env,36
StandardEnvironmentTests,253,35,org.springframework.core.env,24
StandardEnvironmentTests.AbstractEnvironment,4,1,org.springframework.core.env,52
StandardEnvironmentTests.SecurityManager,6,3,org.springframework.core.env,48
StandardEnvironmentTests.SecurityManager,5,1,org.springframework.core.env,48
SystemEnvironmentPropertySourceTests,38,7,org.springframework.core.env,36
ExceptionDepthComparatorTests,35,10,org.springframework.core,29
ExceptionDepthComparatorTests.HighestDepthException,1,0,org.springframework.core,59
ExceptionDepthComparatorTests.LowestDepthException,1,0,org.springframework.core,58
ExceptionDepthComparatorTests.NoDepthException,1,0,org.springframework.core,54
ExceptionDepthComparatorTests.SameDepthException,1,0,org.springframework.core,56
ExceptionDepthComparatorTests.TargetException,1,0,org.springframework.core,53
GenericCollectionTypeResolverTests,53,15,org.springframework.core,34
GenericCollectionTypeResolverTests.CustomMap,1,0,org.springframework.core,52
GenericCollectionTypeResolverTests.CustomSet,1,0,org.springframework.core,52
GenericCollectionTypeResolverTests.Foo,12,11,org.springframework.core,46
GenericCollectionTypeResolverTests.OtherCustomMap,1,0,org.springframework.core,57
GenericTypeResolverTests,76,7,org.springframework.core,24
GenericTypeResolverTests.GenericClass,1,0,org.springframework.core,45
GenericTypeResolverTests.MyCollectionInterfaceType,1,0,org.springframework.core,58
GenericTypeResolverTests.MyCollectionSuperclassType,1,0,org.springframework.core,59
GenericTypeResolverTests.MyInterfaceType,1,0,org.springframework.core,48
GenericTypeResolverTests.MySimpleInterfaceType,1,0,org.springframework.core,54
GenericTypeResolverTests.MySimpleSuperclassType,1,0,org.springframework.core,55
GenericTypeResolverTests.MySuperclassType,1,0,org.springframework.core,49
GenericTypeResolverTests.MyTypeWithMethods,27,13,org.springframework.core,50
ClassPathResourceTests,36,11,org.springframework.core.io,22
ResourceEditorTests,33,6,org.springframework.core.io,19
ResourceTests,124,17,org.springframework.core.io,13
ResourceTests.AbstractResource,4,2,org.springframework.core.io,38
ResourceTests.AbstractResource,4,2,org.springframework.core.io,38
ResourceTests.AbstractResource,4,2,org.springframework.core.io,38
DummyFactory,2,1,org.springframework.core.io.support,12
MyDummyFactory1,3,1,org.springframework.core.io.support,15
MyDummyFactory2,3,1,org.springframework.core.io.support,15
PathMatchingResourcePatternResolverTests,48,10,org.springframework.core.io.support,40
ResourceArrayPropertyEditorTests,29,4,org.springframework.core.io.support,32
ResourcePropertySourceTests,32,7,org.springframework.core.io.support,27
Jdk14ControlFlowTests,4,2,org.springframework.core,21
LocalVariableTableParameterNameDiscovererTests,186,16,org.springframework.core,46
LocalVariableTableParameterNameDiscovererTests.GenerifiedClass,21,8,org.springframework.core,70
LocalVariableTableParameterNameDiscovererTests.InnerClass,17,6,org.springframework.core,65
MethodParameterTests,44,5,org.springframework.core,20
NestedExceptionTests,53,4,org.springframework.core,20
NestedExceptionTests.NestedCheckedException,0,0,org.springframework.core,51
NestedExceptionTests.NestedCheckedException,0,0,org.springframework.core,51
NestedExceptionTests.NestedRuntimeException,0,0,org.springframework.core,51
NestedExceptionTests.NestedRuntimeException,0,0,org.springframework.core,51
OrderComparatorTests,18,5,org.springframework.core,20
OrderComparatorTests.StubOrdered,6,2,org.springframework.core,40
ParameterizedTypeReferenceTest,16,5,org.springframework.core,30
ParameterizedTypeReferenceTest.ParameterizedTypeReference,0,0,org.springframework.core,65
ParameterizedTypeReferenceTest.ParameterizedTypeReference,0,0,org.springframework.core,65
ParameterizedTypeReferenceTest.ParameterizedTypeReference,0,0,org.springframework.core,65
PrioritizedParameterNameDiscovererTests,37,4,org.springframework.core,39
PrioritizedParameterNameDiscovererTests.ParameterNameDiscoverer,4,2,org.springframework.core,71
PrioritizedParameterNameDiscovererTests.ParameterNameDiscoverer,4,2,org.springframework.core,71
SerializationConverterTests,26,4,org.springframework.core.serializer,27
SerializationConverterTests.UnSerializable,3,0,org.springframework.core.serializer,50
ToStringCreatorTests,53,9,org.springframework.core.style,20
ToStringCreatorTests.Object,2,1,org.springframework.core.style,35
ToStringCreatorTests.SomeObject,2,1,org.springframework.core.style,39
ToStringCreatorTests.SomeObject,2,1,org.springframework.core.style,39
ToStringCreatorTests.SomeObject,2,1,org.springframework.core.style,39
ToStringCreatorTests.SomeObject,1,0,org.springframework.core.style,39
SimpleAsyncTaskExecutorTests,54,6,org.springframework.core.task,28
SimpleAsyncTaskExecutorTests.AbstractNotifyingRunnable,10,3,org.springframework.core.task,62
SimpleAsyncTaskExecutorTests.NoOpRunnable,2,1,org.springframework.core.task,49
SimpleAsyncTaskExecutorTests.ThreadFactory,2,1,org.springframework.core.task,50
SimpleAsyncTaskExecutorTests.ThreadNameHarvester,8,3,org.springframework.core.task,56
AbstractClassMetadataMemberClassTests,23,5,org.springframework.core.type,37
AbstractClassMetadataMemberClassTests.L0_a,1,0,org.springframework.core.type,50
AbstractClassMetadataMemberClassTests.L0_b,2,0,org.springframework.core.type,50
AbstractClassMetadataMemberClassTests.L0_b.L1,1,0,org.springframework.core.type,56
AbstractClassMetadataMemberClassTests.L0_c,2,0,org.springframework.core.type,50
AbstractClassMetadataMemberClassTests.L0_c.L1,1,0,org.springframework.core.type,56
AnnotationMetadataTests,104,5,org.springframework.core.type,23
AnnotationMetadataTests.AnnotatedComponent,3,2,org.springframework.core.type,50
AnnotationTypeFilterTests,52,6,org.springframework.core.type,25
AnnotationTypeFilterTests.SomeClassMarkedWithNonInheritedAnnotation,1,0,org.springframework.core.type,75
AnnotationTypeFilterTests.SomeComponent,1,0,org.springframework.core.type,47
AnnotationTypeFilterTests.SomeComponentInterface,1,0,org.springframework.core.type,56
AnnotationTypeFilterTests.SomeNonCandidateClass,1,0,org.springframework.core.type,55
AnnotationTypeFilterTests.SomeSubClassOfSomeComponent,1,0,org.springframework.core.type,61
AnnotationTypeFilterTests.SomeSubClassOfSomeComponentInterface,1,0,org.springframework.core.type,70
AnnotationTypeFilterTests.SomeSubclassOfSomeClassMarkedWithNonInheritedAnnotation,1,0,org.springframework.core.type,89
AspectJTypeFilterTests,55,10,org.springframework.core.type,22
AspectJTypeFilterTests.SomeClass,1,0,org.springframework.core.type,40
AspectJTypeFilterTests.SomeClassAnnotatedWithComponent,1,0,org.springframework.core.type,62
AspectJTypeFilterTests.SomeClassExtendingSomeClass,1,0,org.springframework.core.type,58
AspectJTypeFilterTests.SomeClassExtendingSomeClassExtendingSomeClassAndImplemnentingSomeInterface,1,0,org.springframework.core.type,104
AspectJTypeFilterTests.SomeClassImplementingSomeInterface,1,0,org.springframework.core.type,65
AspectJTypeFilterTests.SomeInterface,1,0,org.springframework.core.type,44
AssignableTypeFilterTests,37,4,org.springframework.core.type,25
AssignableTypeFilterTests.JdbcDaoSupport,1,0,org.springframework.core.type,48
AssignableTypeFilterTests.SimpleJdbcDaoSupport,1,0,org.springframework.core.type,54
AssignableTypeFilterTests.SomeDaoLikeImpl,1,0,org.springframework.core.type,49
AssignableTypeFilterTests.SomeDaoLikeInterface,1,0,org.springframework.core.type,54
AssignableTypeFilterTests.TestInterface,1,0,org.springframework.core.type,47
AssignableTypeFilterTests.TestInterfaceImpl,1,0,org.springframework.core.type,51
AssignableTypeFilterTests.TestNonInheritingClass,1,0,org.springframework.core.type,56
CachingMetadataReaderLeakTest,17,2,org.springframework.core.type,29
CachingMetadataReaderLeakTest.UrlResource,5,2,org.springframework.core.type,49
ClassloadingAssertions,10,3,org.springframework.core.type,22
ClassMetadataReadingVisitorMemberClassTests,6,1,org.springframework.core.type.classreading,43
StandardClassMetadataMemberClassTests,3,1,org.springframework.core.type,37
MockPropertySource,15,6,org.springframework.mock.env,18
AntPathMatcherTests,379,12,org.springframework.util,19
AssertTests,51,22,org.springframework.util,11
AutoPopulatingListTests,39,7,org.springframework.util,23
AutoPopulatingListTests.MockElementFactory,5,1,org.springframework.util,50
CachingMapDecoratorTests,62,1,org.springframework.util,24
CachingMapDecoratorTests.MyCachingMap,9,2,org.springframework.util,45
ClassUtilsTests,182,32,org.springframework.util,15
ClassUtilsTests.InnerClass,10,3,org.springframework.util,34
ClassUtilsTests.OverloadedMethodsClass,3,2,org.springframework.util,46
ClassUtilsTests.SubOverloadedMethodsClass,3,2,org.springframework.util,49
CollectionUtilsTests,131,12,org.springframework.util,20
CollectionUtilsTests.Instance,13,3,org.springframework.util,37
BooleanComparatorTests,17,4,org.springframework.util.comparator,22
ComparableComparatorTests,13,2,org.springframework.util.comparator,25
CompoundComparatorTests,6,1,org.springframework.util.comparator,23
InstanceComparatorTests,33,3,org.springframework.util.comparator,23
InstanceComparatorTests.C1,1,0,org.springframework.util.comparator,34
InstanceComparatorTests.C2,1,0,org.springframework.util.comparator,34
InstanceComparatorTests.C3,1,0,org.springframework.util.comparator,34
InstanceComparatorTests.C4,1,0,org.springframework.util.comparator,34
InstanceComparatorTests.I1,1,0,org.springframework.util.comparator,34
InstanceComparatorTests.I2,1,0,org.springframework.util.comparator,34
InvertibleComparatorTests,23,6,org.springframework.util.comparator,25
NullSafeComparatorTests,8,2,org.springframework.util.comparator,23
CompositeIteratorTests,52,5,org.springframework.util,22
DigestUtilsTests,15,4,org.springframework.util,16
FileCopyUtilsTests,35,6,org.springframework.util,18
FileSystemUtilsTests,42,3,org.springframework.util,20
LinkedCaseInsensitiveMapTests,20,3,org.springframework.util,29
LinkedMultiValueMapTests,35,5,org.springframework.util,24
Log4jConfigurerTests,37,8,org.springframework.util,20
MethodInvokerTests,140,8,org.springframework.util,18
MethodInvokerTests.Customer,3,1,org.springframework.util,35
MethodInvokerTests.Greetable,2,1,org.springframework.util,36
MethodInvokerTests.Greeter,9,4,org.springframework.util,34
MethodInvokerTests.Person,1,0,org.springframework.util,33
MethodInvokerTests.Purchaser,3,1,org.springframework.util,36
MethodInvokerTests.Regular,6,2,org.springframework.util,34
MethodInvokerTests.Salesman,3,1,org.springframework.util,35
MethodInvokerTests.Shopper,3,1,org.springframework.util,34
MethodInvokerTests.TestClass1,21,11,org.springframework.util,37
MethodInvokerTests.VIP,5,2,org.springframework.util,30
MockLog4jAppender,9,3,org.springframework.util,17
NumberUtilsTests,194,27,org.springframework.util,16
ObjectUtilsTests,378,104,org.springframework.util,16
PatternMatchUtilsTests,39,8,org.springframework.util,22
PropertiesPersisterTests,67,10,org.springframework.util,24
PropertyPlaceholderHelperTests,51,7,org.springframework.util,30
PropertyPlaceholderHelperTests.PropertyPlaceholderHelper.PlaceholderResolver,5,1,org.springframework.util,87
ReflectionUtilsTests,204,21,org.springframework.util,20
ReflectionUtilsTests.A,2,1,org.springframework.util,30
ReflectionUtilsTests.B,7,2,org.springframework.util,30
ReflectionUtilsTests.Foo,3,1,org.springframework.util,32
ReflectionUtilsTests.Foo,3,1,org.springframework.util,32
ReflectionUtilsTests.Leaf,3,1,org.springframework.util,33
ReflectionUtilsTests.ListSavingMethodCallback,10,3,org.springframework.util,53
ReflectionUtilsTests.Parent,3,1,org.springframework.util,35
ReflectionUtilsTests.ReflectionUtils.MethodFilter,2,1,org.springframework.util,60
ReflectionUtilsTests.SuppressWarnings,9,8,org.springframework.util,45
ReflectionUtilsTests.TestBeanSubclass,3,1,org.springframework.util,45
ReflectionUtilsTests.TestBeanSubclassWithFinalField,2,0,org.springframework.util,59
ReflectionUtilsTests.TestBeanSubclassWithNewField,3,0,org.springframework.util,57
ReflectionUtilsTests.TestBeanSubclassWithPublicField,2,0,org.springframework.util,60
ResourceUtilsTests,19,2,org.springframework.util,18
ResourceUtilsTests.DummyURLStreamHandler,3,1,org.springframework.util,48
SerializationTestUtils,41,6,org.springframework.util,22
SerializationUtilsTests,16,6,org.springframework.util,23
StopWatchTests,67,5,org.springframework.util,14
StringUtilsTests,392,57,org.springframework.util,16
SystemPropertyUtilsTests,56,12,org.springframework.util,24
TypeUtilsTests,64,4,org.springframework.util,14
AbstractStaxContentHandlerTestCase,20,4,org.springframework.util.xml,34
AbstractStaxXMLReaderTestCase,191,8,org.springframework.util.xml,29
AbstractStaxXMLReaderTestCase.CopyingContentHandler,25,12,org.springframework.util.xml,59
AbstractStaxXMLReaderTestCase.CopyingLexicalHandler,18,8,org.springframework.util.xml,59
AbstractStaxXMLReaderTestCase.SaxArgumentMatcher,77,4,org.springframework.util.xml,56
DomContentHandlerTest,36,4,org.springframework.util.xml,21
SimpleNamespaceContextTests,58,9,org.springframework.util.xml,27
StaxEventContentHandlerTests,4,1,org.springframework.util.xml,28
StaxEventXMLReaderTests,20,2,org.springframework.util.xml,23
StaxResultTests,28,3,org.springframework.util.xml,15
StaxSourceTests,46,5,org.springframework.util.xml,15
StaxStreamContentHandlerTests,4,1,org.springframework.util.xml,29
StaxStreamXMLReaderTests,25,2,org.springframework.util.xml,24
StaxUtilsTest,31,6,org.springframework.util.xml,13
TransformerUtilsTests,60,7,org.springframework.util.xml,21
TransformerUtilsTests.StubTransformer,26,12,org.springframework.util.xml,45
XMLEventStreamReaderTests,16,3,org.springframework.util.xml,25
XMLEventStreamWriterTests,21,2,org.springframework.util.xml,25
